frame_count,time_sec,id,conf,landmarks
0,0.0,,0.43090746,"[[     955.53       309.1]
 [     1028.2      322.72]
 [      940.1      261.25]
 [     1051.3      296.52]
 [     913.88      222.94]
 [     1080.9      300.25]
 [     870.36      189.56]
 [     1105.7      314.03]
 [     853.76      255.09]
 [     1133.3      349.02]
 [     862.06      320.11]
 [       1135      386.33]
 [     877.45      367.38]
 [     1111.6      429.18]
 [      924.5       438.1]
 [     956.32      442.47]
 [     895.98      487.88]
 [     972.22      510.66]
 [        871      481.48]
 [     1012.7      512.49]
 [     883.87      476.11]
 [     995.29      497.25]
 [     880.72      494.53]
 [     992.61      526.62]
 [     925.42       518.8]
 [     909.26      553.39]
 [     886.34      553.38]
 [     931.03      562.37]
 [     901.34      519.61]
 [     949.85      528.45]
 [     877.41      517.71]
 [     984.78      555.94]
 [      903.1      581.11]
 [     878.51      575.17]
 [     931.85      580.69]
 [     902.17      601.81]
 [     864.44      581.69]
 [     965.31      594.56]
 [     903.05      611.87]
 [     854.28      580.57]
 [     1018.5      612.71]
 [     901.08      619.77]
 [     903.89      625.35]
 [     870.78      623.59]
 [     961.25      640.54]
 [     901.44      614.56]]"
2,0.04,,0.5468195,"[[     962.12      315.36]
 [     1040.3      316.96]
 [     949.69      265.98]
 [     1067.3      299.18]
 [     926.03      227.74]
 [     1097.5      310.72]
 [     877.74      194.85]
 [       1121       333.6]
 [     861.01      259.48]
 [     1144.3       355.9]
 [     866.55       323.7]
 [     1137.3      382.07]
 [     880.52      369.72]
 [     1112.3      414.03]
 [      931.7      435.72]
 [     959.92      440.19]
 [     898.17      490.52]
 [     975.75         514]
 [     873.58      481.26]
 [     1015.8      513.26]
 [     887.01      477.36]
 [     996.48      500.56]
 [     882.15       494.8]
 [     996.98      527.24]
 [     926.85      520.82]
 [     911.17      553.57]
 [     887.68      553.43]
 [     932.29      562.82]
 [     902.89       520.6]
 [     951.03      529.52]
 [     881.31      519.59]
 [     988.83      555.19]
 [     904.04       581.8]
 [     880.06       575.8]
 [     932.92      581.73]
 [      903.7      602.39]
 [     866.36      576.64]
 [     968.17      592.56]
 [     903.81      612.55]
 [     853.82      579.72]
 [     1019.5      611.92]
 [     901.64      620.24]
 [      904.9      625.07]
 [     871.76      624.02]
 [     963.96      637.59]
 [      902.4      614.86]]"
4,0.08,,0.52136433,"[[     961.83      313.18]
 [     1025.6      318.46]
 [     949.25      267.51]
 [     1043.9      291.82]
 [     926.31      228.75]
 [       1066      293.38]
 [     881.19      200.78]
 [     1092.1       304.6]
 [     863.75      266.47]
 [     1121.1      343.67]
 [      866.4      327.68]
 [       1134      377.52]
 [     882.17      370.16]
 [     1112.7      426.08]
 [     926.51       443.5]
 [     959.57       447.8]
 [     896.06       494.1]
 [     971.81      516.21]
 [     871.44      484.34]
 [     1015.3      513.82]
 [     884.61      481.86]
 [     994.87      501.82]
 [      880.8      498.07]
 [     995.88      529.29]
 [     926.74      517.67]
 [     910.48      550.84]
 [     888.18      550.77]
 [     930.61      559.41]
 [     903.52      518.33]
 [        951       526.7]
 [      878.1      521.75]
 [     986.57      556.74]
 [     902.78      577.04]
 [     880.09       572.1]
 [     929.94      578.87]
 [     903.13      599.56]
 [      868.2      573.68]
 [     964.13      592.78]
 [     903.53      611.44]
 [     857.89       579.1]
 [     1018.2      609.01]
 [     902.33      617.22]
 [      905.1      621.72]
 [     874.88      621.75]
 [     964.83      636.13]
 [     902.36      612.33]]"
6,0.12,,0.36506462,"[[      965.7      317.38]
 [     1040.8      310.07]
 [     953.43      270.17]
 [     1069.7      303.96]
 [     928.29      234.52]
 [     1101.2      325.03]
 [     883.02      208.86]
 [     1126.7      353.22]
 [     864.94      274.32]
 [     1150.9      360.58]
 [     871.11      333.53]
 [     1131.9      376.63]
 [     883.71      374.85]
 [     1104.9      392.62]
 [     922.98      443.76]
 [     958.34      441.78]
 [     895.89      491.37]
 [     975.77      516.85]
 [     871.94       485.4]
 [     1016.6      513.86]
 [     884.18      480.38]
 [     996.32       502.7]
 [     881.97      496.71]
 [     996.73      528.59]
 [     927.71      517.95]
 [     913.31      551.81]
 [     889.91      551.82]
 [      934.4         561]
 [     904.31      518.73]
 [     951.14      526.71]
 [     881.03      519.91]
 [     987.17      555.94]
 [     906.39      578.96]
 [     881.96       573.4]
 [     933.49      580.13]
 [     905.12      599.38]
 [     869.44       575.7]
 [     965.99      590.18]
 [      905.7      609.16]
 [     856.64      577.68]
 [     1015.9      609.02]
 [     903.34      616.71]
 [     906.29      620.89]
 [     874.26       620.1]
 [     963.04      635.18]
 [     904.14      611.52]]"
8,0.16,,0.7008689,"[[     965.12      317.84]
 [     1025.4      319.31]
 [      951.8      272.05]
 [     1048.4      297.16]
 [     929.99      240.32]
 [       1078      304.79]
 [     882.25      222.11]
 [     1107.8      322.89]
 [     867.36      280.29]
 [     1131.6      352.59]
 [      871.9       335.4]
 [     1126.1      381.74]
 [     884.58      376.15]
 [     1100.7      418.24]
 [     925.18      448.93]
 [     959.06       450.5]
 [     894.89      496.86]
 [     972.55      519.66]
 [     873.38      488.17]
 [     1015.6      518.06]
 [     884.69      485.92]
 [     995.12         507]
 [     880.99      500.24]
 [     995.21      530.58]
 [     929.33      517.23]
 [     913.22      549.47]
 [      890.3      549.16]
 [      933.8      557.88]
 [     906.38      518.06]
 [     953.45      526.48]
 [     879.64       521.4]
 [     987.33      557.13]
 [     904.83      574.87]
 [     881.59      569.63]
 [     932.66      577.19]
 [     904.95      597.38]
 [     870.21       573.5]
 [     966.25      593.15]
 [     905.14      609.24]
 [     858.42      577.23]
 [     1022.8      609.57]
 [     902.87      615.69]
 [     905.68      619.49]
 [      876.4      618.99]
 [     967.04      636.85]
 [     903.84      609.75]]"
10,0.2,,0.09798079,"[[     962.74      321.05]
 [     1070.3       296.7]
 [     947.48      273.35]
 [     1089.1      338.85]
 [     925.64      241.53]
 [     1111.8      385.48]
 [     879.19      220.89]
 [     1136.2      438.96]
 [     864.07      282.63]
 [     1160.7      379.16]
 [     871.33      339.83]
 [     1133.9      329.19]
 [     885.36      377.36]
 [     1083.3      281.15]
 [      926.9      447.18]
 [     959.99      447.56]
 [     898.69      493.26]
 [     978.73      516.76]
 [     874.74      484.08]
 [     1018.6      514.21]
 [     890.58      481.07]
 [     1000.2      500.74]
 [     883.76      496.66]
 [     1000.3      530.21]
 [     931.77      520.83]
 [     919.86      553.53]
 [     895.24      554.38]
 [      941.6      562.22]
 [     908.09      522.58]
 [     955.44      529.73]
 [     882.22      517.29]
 [     992.65      555.97]
 [     915.14      580.37]
 [     887.98      574.35]
 [        942       580.6]
 [     913.33      601.84]
 [     872.89      577.28]
 [     972.65      589.06]
 [     913.96      611.04]
 [     860.44      580.59]
 [     1016.8      604.16]
 [     912.19      618.21]
 [     914.29      624.55]
 [     879.13      621.45]
 [     967.23      633.33]
 [     912.52      613.87]]"
12,0.24,,0.040268753,"[[      961.6      319.78]
 [     1058.6      305.01]
 [     947.38      275.54]
 [       1073      333.98]
 [     925.17      245.31]
 [     1095.1      371.43]
 [     877.38      228.23]
 [     1126.4      413.47]
 [     864.33      285.43]
 [     1156.6      365.97]
 [     870.82      342.23]
 [       1130       339.2]
 [     885.72      377.39]
 [     1083.2      296.65]
 [     926.05      449.39]
 [      962.5      448.95]
 [     900.24      495.19]
 [      978.2      518.29]
 [     876.97      485.23]
 [       1018      514.98]
 [     890.99      482.69]
 [     999.45      503.84]
 [     885.34      498.17]
 [     1000.5      529.75]
 [      931.3      521.84]
 [     919.29      554.64]
 [     893.32      554.15]
 [     940.97      562.79]
 [     907.11       522.9]
 [     955.54      530.48]
 [     882.28      519.14]
 [     991.59      557.62]
 [     913.61      580.86]
 [     886.96       575.4]
 [      941.3       581.2]
 [     912.02       602.2]
 [     871.26      577.39]
 [     974.91      592.22]
 [     911.63      612.25]
 [     859.55      578.78]
 [     1019.3      605.29]
 [     910.06      618.98]
 [     912.26      625.63]
 [     878.38      621.68]
 [     967.29      633.57]
 [      910.4      613.62]]"
14,0.28,,0.06366759,"[[     963.64       317.7]
 [     1068.5      297.61]
 [     949.86      274.75]
 [     1087.3      337.77]
 [     926.79      244.02]
 [     1108.3      383.74]
 [     878.37      225.27]
 [     1134.5       436.7]
 [     863.74      284.62]
 [     1159.7      377.38]
 [     870.96       341.6]
 [       1133       329.1]
 [     885.57       378.9]
 [     1082.1      282.28]
 [     928.57      446.39]
 [     960.38      451.09]
 [     898.09      494.09]
 [     978.96       517.9]
 [     875.17      484.03]
 [     1019.5      516.21]
 [     889.48      482.05]
 [     1000.6      504.52]
 [     882.69      496.87]
 [     1001.2      531.06]
 [     931.85      521.58]
 [      920.8      553.38]
 [      896.3      554.06]
 [     941.85      561.81]
 [     909.12      522.83]
 [     955.32         530]
 [     881.32      519.68]
 [     991.84      557.47]
 [     915.51      579.97]
 [     888.56      574.48]
 [     942.17       581.2]
 [     913.43      602.54]
 [     871.33       576.7]
 [     974.33      590.81]
 [     913.81      611.98]
 [      860.8      580.91]
 [     1018.9      604.43]
 [     912.59      619.09]
 [     914.55      626.77]
 [     879.65      622.31]
 [     969.56      633.87]
 [      912.5      614.56]]"
16,0.32,,0.62455213,"[[     962.47      316.81]
 [     1031.7      319.81]
 [     949.03      271.09]
 [     1055.3      299.18]
 [     925.01      237.36]
 [     1083.7      304.45]
 [     877.54      216.25]
 [     1112.7      320.01]
 [      861.4      278.11]
 [     1136.4      351.31]
 [     869.69      333.91]
 [       1131      383.88]
 [     884.89      373.42]
 [     1107.3      422.72]
 [     926.84      448.77]
 [     963.21       451.6]
 [     897.63      496.38]
 [     975.46      519.82]
 [     873.14       487.8]
 [     1016.5      519.17]
 [        886      484.04]
 [     997.55      507.27]
 [     881.52      501.07]
 [     997.16      530.74]
 [     928.76      519.34]
 [     912.56      553.75]
 [     889.77       552.4]
 [     933.77      562.05]
 [     905.33      520.28]
 [     952.47      528.85]
 [     880.01      522.55]
 [     988.11      559.67]
 [     905.47      578.58]
 [     881.96       573.7]
 [     933.29      580.93]
 [     905.26      600.01]
 [     868.53       575.4]
 [     966.48      595.84]
 [     905.43      611.37]
 [     856.44      577.54]
 [     1018.9      612.52]
 [     904.26      617.92]
 [     906.72      622.65]
 [     874.93      620.82]
 [     964.63      637.43]
 [     904.39      612.37]]"
18,0.36,,0.016832663,"[[     961.84      318.53]
 [     1055.2      311.02]
 [      947.7      270.93]
 [     1072.5      331.16]
 [     923.85      237.18]
 [     1097.9      365.11]
 [     876.62      212.68]
 [     1127.3      404.79]
 [      861.1      278.07]
 [     1161.2      369.24]
 [     867.56      336.17]
 [     1136.6      347.64]
 [     884.93      375.23]
 [     1093.2      318.33]
 [     928.96      446.69]
 [     959.93      449.46]
 [     898.84      495.93]
 [     978.72      520.46]
 [     873.79      484.78]
 [     1020.1         519]
 [     888.13      481.93]
 [     999.69      507.21]
 [     882.57      498.39]
 [     1000.6      533.45]
 [     930.11      520.52]
 [     915.12      553.85]
 [     891.09      553.27]
 [     936.75      562.61]
 [     906.54       521.2]
 [     953.79      529.37]
 [     879.68      522.46]
 [     988.68      560.82]
 [     908.76      579.98]
 [     884.17       574.6]
 [     935.53      581.17]
 [     907.49      599.33]
 [     869.27       578.5]
 [     968.74       595.4]
 [     907.61      609.94]
 [     856.62      578.62]
 [     1018.2      613.18]
 [     905.39      618.31]
 [     908.39       623.8]
 [     876.58      622.52]
 [     965.62      636.75]
 [     905.41      612.59]]"
