frame_count,time_sec,id,conf,landmarks
0,0.0,,0.94176173,"[[     437.18      266.72]
 [     482.95      272.32]
 [     422.99      262.08]
 [     496.54      286.42]
 [     408.33      276.04]
 [      503.3      309.87]
 [      389.6      298.39]
 [     514.31      330.74]
 [     388.98      284.37]
 [     535.15       310.6]
 [     389.66      269.86]
 [     548.29      291.22]
 [     403.67      290.58]
 [     506.85      298.19]
 [     429.14       288.2]
 [     451.57      291.16]
 [        413      310.63]
 [     456.79      319.52]
 [     402.77      308.07]
 [     474.25      322.77]
 [      408.9      305.15]
 [     466.55      314.93]
 [     406.51      314.05]
 [      464.4      326.99]
 [     418.81      329.44]
 [     404.21       349.1]
 [     394.65      347.89]
 [     416.23       353.2]
 [     406.32      329.21]
 [     429.63      335.89]
 [     402.09      326.78]
 [     461.31      340.54]
 [     400.47      361.57]
 [     390.89      359.57]
 [     414.96      364.16]
 [     399.55      373.95]
 [     382.38      356.16]
 [     429.63      366.99]
 [     399.49      378.78]
 [     375.91      360.32]
 [     447.45      379.64]
 [      398.5      380.88]
 [     399.24       382.1]
 [     384.97      379.94]
 [     420.06      387.02]
 [     399.13      380.53]]"
2,0.04,,0.94814163,"[[      435.3       262.3]
 [      489.4      268.13]
 [     417.97      261.61]
 [     500.79      282.24]
 [     406.88      278.75]
 [     506.12      302.83]
 [     391.92      293.81]
 [     518.18      324.29]
 [     391.02      285.36]
 [     538.15      305.72]
 [     392.15      277.55]
 [     553.13      286.16]
 [     406.18      290.71]
 [     515.79       297.1]
 [     433.19      286.02]
 [     455.57      287.14]
 [     415.88      308.55]
 [      461.8      314.57]
 [        405      305.84]
 [     480.87      317.65]
 [      411.8      301.89]
 [     472.38      309.29]
 [     409.35      312.52]
 [     470.04      322.59]
 [      423.5      324.77]
 [     410.23      343.43]
 [     399.33      343.03]
 [     423.21      348.78]
 [     410.83      324.96]
 [     435.23         331]
 [     406.53      324.77]
 [     467.04      337.21]
 [      405.7      359.28]
 [     394.77      356.37]
 [     421.48      360.84]
 [     404.61       372.3]
 [     385.12      353.02]
 [      437.9      362.34]
 [     404.57      377.72]
 [     379.71      360.45]
 [      453.7      377.24]
 [     403.75      380.43]
 [     404.32      381.98]
 [     390.23      378.03]
 [     425.92      381.37]
 [     404.01       380.3]]"
4,0.08,,0.8822385,"[[     430.73      264.37]
 [     482.48      268.25]
 [     415.66      262.48]
 [      498.7      277.31]
 [     404.76      282.63]
 [     503.82      301.01]
 [     391.67      298.23]
 [     515.99      325.44]
 [     394.33       290.4]
 [     535.99      304.99]
 [      396.6      279.57]
 [      550.9      285.98]
 [      407.9      283.46]
 [     518.13       315.8]
 [     431.41      283.63]
 [     452.35      283.75]
 [     416.06      309.95]
 [     460.79      315.69]
 [     404.19       305.8]
 [     484.13      316.86]
 [     412.55      301.74]
 [     472.55      306.88]
 [     408.42      314.77]
 [     471.38      323.17]
 [        427      323.96]
 [     411.97      342.32]
 [     400.28       343.9]
 [     425.44      347.55]
 [      414.2      323.93]
 [     438.66      330.47]
 [     405.87       327.6]
 [     470.45      339.12]
 [     407.87      358.82]
 [     396.95      356.04]
 [     423.19      359.69]
 [     407.47      371.79]
 [     386.78      355.14]
 [     440.38      362.56]
 [     409.09       376.5]
 [     383.44       359.1]
 [     463.58      371.88]
 [     408.99      393.05]
 [     409.95      395.07]
 [     395.39      376.16]
 [     433.85      380.34]
 [     408.07      401.55]]"
6,0.12,,0.9653196,"[[     430.36      264.41]
 [     484.64      265.97]
 [     410.11      264.32]
 [     499.17      273.49]
 [     398.33      282.45]
 [     506.44      296.74]
 [     388.65      294.46]
 [     520.87      323.47]
 [      397.8      289.29]
 [      538.2      300.07]
 [     397.58      284.21]
 [     552.93      285.19]
 [     407.69      288.14]
 [     522.55      317.24]
 [     433.62      280.82]
 [     449.03      282.94]
 [     416.63      309.91]
 [      460.4      315.19]
 [     402.83      306.59]
 [     483.85      316.16]
 [     411.34      301.57]
 [     471.71      306.29]
 [      407.8      315.21]
 [     471.04      323.55]
 [     427.95      325.81]
 [     412.78      342.74]
 [     399.88      343.69]
 [     426.25      349.74]
 [     414.05       325.3]
 [     439.42      332.26]
 [      403.6      326.91]
 [     469.35      340.16]
 [     406.69      359.59]
 [     395.51      356.04]
 [     422.96      361.54]
 [     406.29      372.68]
 [     386.49      355.94]
 [     443.56      365.18]
 [     408.26      378.25]
 [     382.84      358.64]
 [     476.42      371.26]
 [     412.35      417.38]
 [     412.35      422.77]
 [      391.8      377.91]
 [     437.69      381.98]
 [      408.7       445.6]]"
8,0.16,,0.9262155,"[[     427.22       268.1]
 [     484.21      270.09]
 [     410.45      273.52]
 [     498.57      279.37]
 [     399.23      293.84]
 [     503.67       304.3]
 [     387.91      313.28]
 [      515.5      328.54]
 [     394.36      296.56]
 [     534.02      305.71]
 [     395.52       275.6]
 [     549.06      287.81]
 [      412.2      273.26]
 [     523.06      318.65]
 [      431.3      288.18]
 [     448.57      285.91]
 [      416.2      310.96]
 [     459.49      317.02]
 [     402.65      308.18]
 [     482.56      318.86]
 [     411.48      302.79]
 [        471      309.07]
 [     407.78       317.8]
 [     469.92      325.36]
 [     426.23      324.32]
 [     411.34      344.38]
 [     399.56      345.71]
 [     424.63      350.11]
 [     412.65      324.64]
 [     437.96      331.42]
 [     404.28      328.95]
 [     468.06      341.16]
 [     406.37      361.17]
 [     396.81      357.77]
 [     421.65      361.42]
 [     406.41      373.57]
 [     386.28      355.59]
 [      440.6      363.99]
 [     408.53      379.38]
 [     380.31       359.7]
 [      472.4      372.99]
 [     410.98      415.01]
 [     411.69      419.79]
 [      392.8      378.89]
 [     436.62      383.51]
 [     407.93      437.47]]"
10,0.2,,0.94325453,"[[     430.55      260.77]
 [     484.26      266.93]
 [     414.92      258.95]
 [      496.9      277.76]
 [     402.07      272.22]
 [     502.33      300.49]
 [     386.43      290.74]
 [     514.43      323.39]
 [     388.71      282.24]
 [     535.71      301.35]
 [     388.43      276.09]
 [      547.3      282.07]
 [     398.39      287.34]
 [     512.69      296.96]
 [     429.17      281.51]
 [     451.63      284.88]
 [      412.3      305.04]
 [        459      312.29]
 [     401.42      303.15]
 [     477.54      313.82]
 [     407.58      299.14]
 [     469.12      305.56]
 [     405.99      309.33]
 [     467.48      319.49]
 [     420.14      318.94]
 [      407.6       339.2]
 [     396.44      339.15]
 [     420.69      344.48]
 [      407.5      319.13]
 [     432.15       325.5]
 [     402.83      321.49]
 [     465.61      333.99]
 [     403.81      355.52]
 [      392.4      352.49]
 [     419.03      356.59]
 [     402.56      368.32]
 [     382.97      350.04]
 [     434.94       357.3]
 [     402.83      373.73]
 [     378.78       358.4]
 [     447.56      372.95]
 [     401.93       377.3]
 [     402.92      379.01]
 [     390.34      375.54]
 [     421.47      378.94]
 [     402.05      377.54]]"
12,0.24,,0.9395744,"[[     427.88      260.79]
 [     480.19      265.64]
 [        411      260.69]
 [     495.37      277.32]
 [     399.69      274.15]
 [     500.93      299.62]
 [     385.62      286.71]
 [     512.95      321.09]
 [     387.36      281.53]
 [      532.7      298.59]
 [     389.08      274.62]
 [     545.89      281.08]
 [     397.64      283.46]
 [     511.78      309.77]
 [     426.44      279.99]
 [     448.21      281.74]
 [      409.4      304.84]
 [     457.23      310.45]
 [     399.62      302.35]
 [     477.24       311.1]
 [     405.69      298.01]
 [     467.51      303.22]
 [     402.96      308.97]
 [      466.1       317.2]
 [      420.4      318.09]
 [     406.67      335.17]
 [     394.42      336.26]
 [     420.69      340.36]
 [     408.11      318.42]
 [     432.19         324]
 [     401.27      322.29]
 [     463.08      332.93]
 [     402.83      352.18]
 [     390.85      350.34]
 [     419.24      353.56]
 [     402.45      366.44]
 [     382.01      349.12]
 [     436.94      356.11]
 [     403.69      370.96]
 [     378.53      356.08]
 [     452.94      368.64]
 [     403.54      378.49]
 [     404.49      380.02]
 [     389.87      372.58]
 [     426.88      377.04]
 [      403.9      379.36]]"
14,0.28,,0.96782047,"[[     427.24      260.57]
 [     482.01      264.78]
 [     411.61      260.89]
 [     494.73      275.98]
 [     399.77       277.3]
 [     499.21      298.57]
 [     385.88      293.65]
 [     511.88      320.32]
 [     384.92      283.49]
 [     531.36       297.9]
 [     386.83      272.58]
 [     544.59      278.44]
 [     399.38      280.59]
 [     511.42      306.74]
 [     426.97      279.47]
 [     449.29       282.3]
 [     410.46      304.66]
 [     457.49      308.53]
 [     399.51      301.05]
 [     477.44      310.94]
 [     406.84      297.79]
 [     467.47       302.1]
 [     403.53      307.75]
 [     466.77      316.57]
 [     419.31      316.62]
 [     406.76      336.29]
 [     395.51      336.58]
 [     420.11      341.29]
 [     407.05      316.96]
 [     431.27      322.59]
 [     400.86      320.04]
 [     465.18      331.18]
 [     403.42      352.67]
 [     391.48      350.02]
 [     418.77      353.87]
 [     402.46      365.78]
 [      382.6      347.39]
 [     435.34      354.76]
 [     402.97      370.86]
 [     378.88      354.95]
 [     449.16      369.97]
 [     402.38      375.51]
 [     403.38      377.03]
 [     390.12      372.19]
 [     422.63      375.61]
 [     402.31      376.34]]"
16,0.32,,0.94903374,"[[     422.95       261.8]
 [     480.13      266.45]
 [     406.21       265.2]
 [     494.19      274.89]
 [     394.07      285.83]
 [     500.65      299.95]
 [     382.32      305.73]
 [     511.87      325.36]
 [     390.04      287.59]
 [     527.38       300.9]
 [     389.22      272.74]
 [      543.5       283.6]
 [     404.79      271.86]
 [     514.33      319.37]
 [     425.78      279.49]
 [     444.33      280.46]
 [     410.71      307.25]
 [      453.9      312.37]
 [     397.12      303.11]
 [     476.28      312.14]
 [     406.24      297.92]
 [     465.04      303.46]
 [     402.06      312.06]
 [     464.45      319.49]
 [     421.83      321.36]
 [     406.45      338.71]
 [     394.15      340.68]
 [     421.22       345.4]
 [     408.51      320.94]
 [     433.08      327.79]
 [     397.42      324.31]
 [     463.72      335.43]
 [      400.6      355.73]
 [     391.05      353.18]
 [     417.81      357.57]
 [     401.41      368.95]
 [     381.37      351.95]
 [     437.95      359.89]
 [     403.82      374.63]
 [     377.45      355.18]
 [     473.62      367.65]
 [     408.23      420.08]
 [     408.59      425.37]
 [      387.9      374.75]
 [     434.16      378.86]
 [     405.54      443.17]]"
18,0.36,,0.9168317,"[[     422.46      265.38]
 [        480      266.16]
 [     406.01      268.46]
 [     492.82      273.19]
 [     393.05      285.19]
 [     498.05      298.22]
 [     381.94      302.86]
 [     509.36      324.18]
 [     386.89      291.12]
 [     525.07      300.15]
 [     384.05      276.07]
 [     543.15      281.84]
 [     403.01      272.53]
 [     514.62      318.32]
 [     425.63      278.72]
 [     443.32      279.65]
 [     409.55      306.21]
 [     454.63      311.19]
 [      396.5      302.46]
 [     476.46      312.42]
 [     404.87       298.3]
 [     465.61      302.68]
 [     401.01      310.81]
 [     464.52      318.55]
 [     420.99      321.21]
 [     406.33      338.18]
 [     393.46      340.23]
 [     421.16      344.94]
 [     407.36      321.19]
 [     432.24      327.73]
 [        398      323.53]
 [     462.56      335.25]
 [     400.32      355.59]
 [     390.25      352.79]
 [     417.85      357.29]
 [     401.11      369.06]
 [     380.62       352.3]
 [     438.22      359.96]
 [     403.51      374.03]
 [     375.56      354.55]
 [     473.28      367.55]
 [     407.58      418.28]
 [     407.81      423.47]
 [     386.54      374.97]
 [        434       379.9]
 [      404.6      443.08]]"
